Date,Time,Open,Hight,Low,Close,
2019.11.01,0:00,1.11641,1.11643,1.11639,1.11641,0
2019.11.01,0:01,1.11643,1.11646,1.11643,1.11645,0
2019.11.01,0:02,1.11646,1.11646,1.11643,1.11646,0
2019.11.01,0:03,1.11643,1.11643,1.11641,1.11641,0
2019.11.01,0:04,1.11642,1.11646,1.11641,1.11646,0
2019.11.01,0:05,1.11646,1.11646,1.11635,1.11636,0
2019.11.01,0:06,1.11635,1.11636,1.11635,1.11635,0
2019.11.01,0:07,1.11636,1.11639,1.11631,1.11638,0
2019.11.01,0:08,1.11638,1.11643,1.11638,1.11641,0
2019.11.01,0:09,1.11642,1.11645,1.11639,1.11639,0
2019.11.01,0:10,1.11637,1.11641,1.11636,1.11641,0
2019.11.01,0:11,1.11641,1.11642,1.11641,1.11641,0
2019.11.01,0:12,1.11641,1.11642,1.11636,1.1164,0
2019.11.01,0:13,1.11641,1.11642,1.1164,1.11642,0
2019.11.01,0:14,1.1164,1.11642,1.1164,1.11642,0
2019.11.01,0:15,1.1164,1.11646,1.1164,1.11645,0
2019.11.01,0:16,1.11645,1.11646,1.11645,1.11646,0
2019.11.01,0:17,1.11646,1.11647,1.11645,1.11646,0
2019.11.01,0:18,1.11647,1.1165,1.11645,1.11648,0
2019.11.01,0:19,1.11649,1.11651,1.11648,1.11649,0
2019.11.01,0:20,1.11648,1.1165,1.11646,1.11646,0
2019.11.01,0:21,1.11647,1.11647,1.11645,1.11647,0
2019.11.01,0:22,1.11645,1.11649,1.11645,1.11646,0
2019.11.01,0:23,1.11647,1.11647,1.11646,1.11646,0
2019.11.01,0:24,1.11644,1.11644,1.11641,1.11641,0
2019.11.01,0:25,1.11642,1.11647,1.11641,1.11641,0
2019.11.01,0:26,1.11641,1.11641,1.11639,1.1164,0
2019.11.01,0:27,1.11639,1.1164,1.11635,1.11636,0
2019.11.01,0:28,1.11637,1.11639,1.11635,1.11635,0
2019.11.01,0:29,1.11635,1.11637,1.11635,1.11636,0
2019.11.01,0:30,1.11635,1.11636,1.11635,1.11635,0
2019.11.01,0:31,1.11636,1.11642,1.11635,1.11641,0
2019.11.01,0:32,1.11641,1.11642,1.11639,1.11641,0
2019.11.01,0:33,1.11641,1.11644,1.11637,1.11642,0
2019.11.01,0:34,1.11641,1.11642,1.11636,1.11641,0
2019.11.01,0:35,1.1164,1.11642,1.11637,1.11642,0
2019.11.01,0:36,1.11641,1.11642,1.11638,1.1164,0
2019.11.01,0:37,1.11641,1.11642,1.11641,1.11641,0
2019.11.01,0:38,1.11642,1.11642,1.1164,1.11642,0
2019.11.01,0:39,1.11645,1.11645,1.11641,1.11642,0
2019.11.01,0:40,1.11641,1.11643,1.1164,1.11641,0
2019.11.01,0:41,1.11641,1.11642,1.11638,1.11642,0
2019.11.01,0:42,1.11642,1.11642,1.11642,1.11642,0
2019.11.01,0:43,1.11642,1.11642,1.11642,1.11642,0
2019.11.01,0:44,1.11645,1.11647,1.11643,1.11643,0
2019.11.01,0:45,1.11643,1.11643,1.11637,1.11637,0
2019.11.01,0:46,1.11637,1.11637,1.11635,1.11635,0
2019.11.01,0:47,1.11636,1.11636,1.11632,1.11633,0
2019.11.01,0:48,1.11632,1.11634,1.11632,1.11634,0
2019.11.01,0:49,1.11635,1.11635,1.11632,1.11632,0
2019.11.01,0:50,1.11632,1.11635,1.11631,1.11633,0
2019.11.01,0:51,1.11634,1.11636,1.11632,1.11632,0
2019.11.01,0:52,1.11632,1.11633,1.11631,1.11632,0
2019.11.01,0:53,1.11631,1.11632,1.11631,1.11631,0
2019.11.01,0:54,1.11631,1.11633,1.11631,1.11632,0
2019.11.01,0:55,1.11631,1.11636,1.11631,1.11631,0
2019.11.01,0:56,1.11632,1.11632,1.11626,1.11631,0
2019.11.01,0:57,1.11632,1.11635,1.1163,1.11632,0
2019.11.01,0:58,1.1163,1.11633,1.1163,1.11631,0
2019.11.01,0:59,1.11632,1.1164,1.11631,1.1164,0
2019.11.01,1:00,1.11641,1.11643,1.11626,1.11627,0
2019.11.01,1:01,1.11628,1.11631,1.11628,1.11631,0
2019.11.01,1:02,1.11631,1.11631,1.11629,1.1163,0
2019.11.01,1:03,1.11631,1.11632,1.1163,1.11631,0
2019.11.01,1:04,1.11631,1.11631,1.11631,1.11631,0
2019.11.01,1:05,1.11634,1.11634,1.11627,1.1163,0
2019.11.01,1:06,1.1163,1.1163,1.11622,1.11622,0
2019.11.01,1:07,1.11622,1.11622,1.1162,1.11621,0
2019.11.01,1:08,1.11621,1.11621,1.11619,1.11619,0
2019.11.01,1:09,1.11619,1.11619,1.11616,1.11616,0
2019.11.01,1:10,1.11615,1.11616,1.1161,1.11611,0
2019.11.01,1:11,1.1161,1.11612,1.11607,1.11607,0
2019.11.01,1:12,1.11608,1.11609,1.11603,1.11607,0
2019.11.01,1:13,1.11608,1.11608,1.11606,1.11606,0
2019.11.01,1:14,1.11607,1.11607,1.11606,1.11607,0
2019.11.01,1:15,1.11606,1.11608,1.11604,1.11607,0
2019.11.01,1:16,1.11606,1.11608,1.11606,1.11607,0
2019.11.01,1:17,1.11608,1.11609,1.11607,1.11607,0
2019.11.01,1:18,1.11607,1.11608,1.11607,1.11608,0
2019.11.01,1:19,1.11609,1.11609,1.11607,1.11609,0
2019.11.01,1:20,1.11607,1.11609,1.11607,1.11607,0
2019.11.01,1:21,1.11607,1.11609,1.11607,1.11609,0
2019.11.01,1:22,1.11609,1.11609,1.11606,1.11608,0
2019.11.01,1:23,1.11606,1.11608,1.11606,1.11607,0
2019.11.01,1:24,1.11608,1.11608,1.11605,1.11608,0
2019.11.01,1:25,1.11609,1.11609,1.11606,1.11608,0
2019.11.01,1:26,1.11607,1.11618,1.11607,1.11617,0
2019.11.01,1:27,1.11618,1.11618,1.11613,1.11613,0
2019.11.01,1:28,1.11616,1.11618,1.11616,1.11617,0
2019.11.01,1:29,1.11616,1.11616,1.11613,1.11613,0
2019.11.01,1:30,1.11613,1.11615,1.11612,1.11615,0
2019.11.01,1:31,1.11615,1.11618,1.11614,1.11617,0
2019.11.01,1:32,1.11618,1.11619,1.11618,1.11619,0
2019.11.01,1:33,1.11619,1.11619,1.11619,1.11619,0
2019.11.01,1:34,1.11619,1.11629,1.11618,1.11626,0
2019.11.01,1:35,1.11626,1.11629,1.11625,1.11628,0
2019.11.01,1:36,1.11628,1.11628,1.11624,1.11625,0
2019.11.01,1:37,1.11625,1.11625,1.11621,1.11622,0
2019.11.01,1:38,1.11623,1.11635,1.11623,1.11635,0
